departamento,n_articulos,bloque_A,bloque_B,bloque_C,bloque_D,bloque_E,corrupcion_score,vulneracion_score,radar_propio,categoria_riesgo
Guaviare,7.0,38.21183982903936,32.926629683268914,51.73805698752404,65.29361480390843,31.75213739926379,37.452877329358685,100.0,100.0,alto
La Guajira,7.0,61.83542829738664,29.326568523954066,58.310791488204686,66.42606256681741,23.391701436475927,81.73244903538051,84.06782237245231,89.09668846185635,alto
Chocó,561.0,53.969462200256466,56.035590540108146,49.87218857287768,61.305210711319205,28.844120829260383,86.34021541294857,82.63252810499372,88.17635712788572,alto
Caquetá,4.0,43.93968721851706,42.49897963338299,44.94853798300028,64.64963624519962,24.607691660316455,45.856356251285526,82.03582821081609,83.55025174990503,alto
Vichada,84.0,56.099070407279726,51.61994359124773,51.88124740025073,61.554540574503505,25.78653525841353,87.95791279719666,76.36100086471403,82.30181816119548,alto
Córdoba,106.0,57.427983386700156,60.49856890166476,51.537976131526285,59.035662252605306,26.42367690552926,100.0,71.01080536463546,78.35738650612842,alto
Huila,4.0,45.76115615927847,55.622868509963155,48.72770285233855,56.649751984514296,30.110719483087045,70.98129356658218,72.94632549511789,77.31605720472945,medio
Arauca,23.0,61.53617320372218,58.38297335410733,47.7010594356967,58.34969983581505,26.869469586940337,97.15802957341324,70.17219541719108,77.2657764191165,medio
Magdalena,4.0,48.95584785845131,35.65369328483939,60.97617918159812,56.75296713099149,28.48032796367382,73.78920371453069,69.52192922898445,74.30104760376504,medio
Vaupés,92.0,51.29836502908248,44.7753722906877,51.88719677166892,56.22341085741621,26.90697111521739,72.30635136628204,64.51951798395406,69.33773849939894,medio
Antioquia,157.0,58.0394889304791,50.758639072293455,45.45268827460552,54.162507662300406,28.63004945374238,78.6504533317912,62.87154731067606,68.38648156538709,medio
Risaralda,2.0,40.65259834751487,36.84153438080102,58.88897225260734,46.09166266995349,37.68211321698295,58.52619996563793,61.65108199478095,65.1976557347455,medio
Norte de Santander,37.0,50.47129684999408,46.06653410991704,52.137738477589714,54.54162850944076,26.448923554802846,72.98907719481217,58.94086914419312,64.03653057265176,medio
Valle del Cauca,206.0,50.80559254580399,52.64878171212825,50.97740211551195,50.0369975104461,26.691678716393785,79.3022102248791,47.33633859865835,53.49882802236352,medio
Cesar,12.0,44.631974527874256,39.046276691369705,53.13021866061415,43.42977727425196,34.77617561422651,57.23949532121889,47.867979733332874,51.802424021427825,medio
Cundinamarca,5.0,54.95254108682275,28.311803033604516,59.71348789893091,47.30920480930113,27.625729292889844,72.21798382980107,42.09671770767076,47.74659493945237,bajo
Meta,74.0,45.62148278354151,29.218850148278534,47.30964982215114,47.75554387945714,23.509455971990878,36.8438624540574,33.952346697271736,36.36713810057676,bajo
Quindío,30.0,47.58953355257593,26.253720156421572,53.58602498983964,43.5100869282559,26.43907782632461,47.44952523944916,29.149583286146562,32.805855881731006,bajo
Caldas,11.0,35.295871913761154,28.273662747497752,50.19788678396833,46.85477460507763,21.63375666614321,24.637727838445432,27.261530274943624,28.705487139521736,bajo
Santander,100.0,46.37728439871716,29.953204481973078,50.94130606983091,39.64001169167126,23.95905879551881,45.29654636666371,13.07348789255193,17.116882178044932,bajo
Tolima,5.0,31.240063770674166,11.199451595544812,51.35150860995055,40.02183683549187,17.749156597419642,0.0,0.0,0.0,bajo
