departamento,n_articulos,bloque_A,bloque_B,bloque_C,bloque_D,bloque_E,corrupcion_score,vulneracion_score,radar_propio,categoria_riesgo
La Guajira,7.0,61.83542829738664,29.326568523954066,58.310791488204686,66.42606256681741,23.391701436475927,100.0,89.66048684915413,100.0,alto
Arauca,23.0,61.53617320372218,58.38297335410733,47.7010594356967,58.34969983581505,26.869469586940337,83.96251254762886,70.81626298008149,81.5702071365641,alto
Vichada,84.0,56.099070407279726,51.61994359124773,51.88124740025073,61.554540574503505,25.78653525841353,74.20458680324198,78.78388655771076,80.76902590736374,alto
Córdoba,106.0,57.427983386700156,60.49856890166476,51.537976131526285,59.035662252605306,26.42367690552926,77.77665746796684,72.16877131701762,79.08070623266218,alto
Chocó,561.0,53.969462200256466,56.035590540108146,49.87218857287768,61.305210711319205,28.844120829260383,65.10064791494054,83.0668902383493,78.33344255959918,alto
Magdalena,4.0,48.95584785845131,35.65369328483939,60.97617918159812,56.75296713099149,28.48032796367382,66.60149050307409,68.61312824739531,71.3689764171514,alto
Antioquia,157.0,58.0394889304791,50.758639072293455,45.45268827460552,54.162507662300406,28.63004945374238,70.22873458791761,60.976440171910276,69.16196764067483,medio
Vaupés,92.0,51.29836502908248,44.7753722906877,51.88719677166892,56.22341085741621,26.90697111521739,60.059221104095236,64.4071449070389,65.7160507544159,medio
Guaviare,7.0,38.21183982903936,32.926629683268914,51.73805698752404,65.29361480390843,31.75213739926379,21.415265240906123,100.0,64.70723487602757,medio
Cundinamarca,5.0,54.95254108682275,28.311803033604516,59.71348789893091,47.30920480930113,27.625729292889844,82.01412060843451,38.463647445584186,63.223337677531724,medio
Norte de Santander,37.0,50.47129684999408,46.06653410991704,52.137738477589714,54.54162850944076,26.448923554802846,58.05436221744918,58.53366481512453,61.52732317329003,medio
Caquetá,4.0,43.93968721851706,42.49897963338299,44.94853798300028,64.64963624519962,24.607691660316455,28.18699581898869,86.25937274665012,60.863620898261814,medio
Huila,4.0,45.76115615927847,55.622868509963155,48.72770285233855,56.649751984514296,30.110719483087045,39.45875127178135,70.98743919461474,58.537750054995485,medio
Valle del Cauca,206.0,50.80559254580399,52.64878171212825,50.97740211551195,50.0369975104461,26.691678716393785,57.45147778233436,45.224967243881466,54.08328343115757,medio
Risaralda,2.0,40.65259834751487,36.84153438080102,58.88897225260734,46.09166266995349,37.68211321698295,39.31191606922176,51.34071765429263,47.93476969244197,medio
Cesar,12.0,44.631974527874256,39.046276691369705,53.13021866061415,43.42977727425196,34.77617561422651,42.35277141266965,38.44804332153339,42.606923313427075,bajo
Quindío,30.0,47.58953355257593,26.253720156421572,53.58602498983964,43.5100869282559,26.43907782632461,51.34716640532019,24.945031348868284,40.045520619464334,bajo
Meta,74.0,45.62148278354151,29.218850148278534,47.30964982215114,47.75554387945714,23.509455971990878,36.30008361435239,33.034485505703366,36.561367814315076,bajo
Santander,100.0,46.37728439871716,29.953204481973078,50.94130606983091,39.64001169167126,23.95905879551881,43.94925739774577,9.0777775297695,27.69991255228647,bajo
Caldas,11.0,35.295871913761154,28.273662747497752,50.19788678396833,46.85477460507763,21.63375666614321,10.503636583261452,27.200239801735858,20.031542770278524,bajo
Tolima,5.0,31.240063770674166,11.199451595544812,51.35150860995055,40.02183683549187,17.749156597419642,0.0,0.0,0.0,bajo
