departamento,n_articulos,bloque_A,bloque_B,bloque_C,bloque_D,bloque_E,corrupcion_score,vulneracion_score,radar_propio,categoria_riesgo
La Guajira,7.0,61.83542829738664,29.326568523954066,58.310791488204686,66.42606256681741,23.391701436475927,90.78356303066654,98.75903265533785,100.0,alto
Guaviare,7.0,38.21183982903936,32.926629683268914,51.73805698752404,65.29361480390843,31.75213739926379,28.585871251004,100.0,83.04803284206864,alto
Vichada,84.0,56.099070407279726,51.61994359124773,51.88124740025073,61.554540574503505,25.78653525841353,63.90707381661436,82.72560996212971,80.26786549693026,alto
Magdalena,4.0,48.95584785845131,35.65369328483939,60.97617918159812,56.75296713099149,28.48032796367382,100.0,67.13462593527927,78.97005326806531,alto
Chocó,561.0,53.969462200256466,56.035590540108146,49.87218857287768,61.305210711319205,28.844120829260383,52.94658010648289,83.77354156407635,77.90150576726514,alto
Córdoba,106.0,57.427983386700156,60.49856890166476,51.537976131526285,59.035662252605306,26.42367690552926,70.82415720889709,74.05263299040087,75.76234240632039,alto
Caquetá,4.0,43.93968721851706,42.49897963338299,44.94853798300028,64.64963624519962,24.607691660316455,0.0,93.13053649763651,69.68621536007973,medio
Arauca,23.0,61.53617320372218,58.38297335410733,47.7010594356967,58.34969983581505,26.869469586940337,49.00246547239154,71.86407806851524,67.85010300976603,medio
Vaupés,92.0,51.29836502908248,44.7753722906877,51.88719677166892,56.22341085741621,26.90697111521739,53.11566678199444,64.22432836369838,63.31214877094929,medio
Huila,4.0,45.76115615927847,55.622868509963155,48.72770285233855,56.649751984514296,30.110719483087045,37.057128820811656,67.80058312476082,61.37330159207255,medio
Norte de Santander,37.0,50.47129684999408,46.06653410991704,52.137738477589714,54.54162850944076,26.448923554802846,54.97741775371917,57.871195744086776,59.09031364938586,medio
Cundinamarca,5.0,54.95254108682275,28.311803033604516,59.71348789893091,47.30920480930113,27.625729292889844,91.74537923186837,32.55310939446689,50.703153089021335,medio
Antioquia,157.0,58.0394889304791,50.758639072293455,45.45268827460552,54.162507662300406,28.63004945374238,24.667551857854857,57.893344595281945,50.39313507749434,medio
Risaralda,2.0,40.65259834751487,36.84153438080102,58.88897225260734,46.09166266995349,37.68211321698295,79.47456443910855,34.567080934054864,48.68343685323588,medio
Valle del Cauca,206.0,50.80559254580399,52.64878171212825,50.97740211551195,50.0369975104461,26.691678716393785,53.74413641601588,41.79003760250409,46.6945847123525,medio
Cesar,12.0,44.631974527874256,39.046276691369705,53.13021866061415,43.42977727425196,34.77617561422651,49.18814329096287,23.123018319382787,31.407382681380174,bajo
Quindío,30.0,47.58953355257593,26.253720156421572,53.58602498983964,43.5100869282559,26.43907782632461,43.920646927090345,18.104766113009703,26.135490466036853,bajo
Meta,74.0,45.62148278354151,29.218850148278534,47.30964982215114,47.75554387945714,23.509455971990878,5.004865174836941,31.541243397224854,25.008520442400663,bajo
Caldas,11.0,35.295871913761154,28.273662747497752,50.19788678396833,46.85477460507763,21.63375666614321,11.883894266917695,27.100528084666813,23.66107006048161,bajo
Santander,100.0,46.37728439871716,29.953204481973078,50.94130606983091,39.64001169167126,23.95905879551881,29.266817565043418,2.5772706755735375,10.296066096152986,bajo
Tolima,5.0,31.240063770674166,11.199451595544812,51.35150860995055,40.02183683549187,17.749156597419642,0.16566978431031998,0.0,0.0,bajo
