departamento,n_articulos,bloque_A,bloque_B,bloque_C,bloque_D,bloque_E,corrupcion_score,vulneracion_score,radar_propio,categoria_riesgo
La Guajira,7.0,61.83542829738664,29.326568523954066,58.310791488204686,66.42606256681741,23.391701436475927,85.04391385398019,100.0,100.0,alto
Arauca,23.0,61.53617320372218,58.38297335410733,47.7010594356967,58.34969983581505,26.869469586940337,100.0,70.14223159492559,96.6288291274798,alto
Córdoba,106.0,57.427983386700156,60.49856890166476,51.537976131526285,59.035662252605306,26.42367690552926,93.86151605711048,72.66483327614935,93.69955215712021,alto
Vichada,84.0,56.099070407279726,51.61994359124773,51.88124740025073,61.554540574503505,25.78653525841353,84.79724319427777,82.01669202474575,91.86775341394645,alto
Chocó,561.0,53.969462200256466,56.035590540108146,49.87218857287768,61.305210711319205,28.844120829260383,82.17398650805103,81.35689080548292,89.84579151304621,alto
Antioquia,157.0,58.0394889304791,50.758639072293455,45.45268827460552,54.162507662300406,28.63004945374238,85.76010858750112,54.65869352287012,80.37842003787374,alto
Vaupés,92.0,51.29836502908248,44.7753722906877,51.88719677166892,56.22341085741621,26.90697111521739,69.14093003375534,62.203516731847984,72.76471914834814,medio
Caquetá,4.0,43.93968721851706,42.49897963338299,44.94853798300028,64.64963624519962,24.607691660316455,47.824005177508795,93.47272036098649,72.56757808235857,medio
Huila,4.0,45.76115615927847,55.622868509963155,48.72770285233855,56.649751984514296,30.110719483087045,62.786416696929734,64.08043758722268,69.40686560465552,medio
Norte de Santander,37.0,50.47129684999408,46.06653410991704,52.137738477589714,54.54162850944076,26.448923554802846,68.27996370850403,55.88110789190125,69.39518456125023,medio
Magdalena,4.0,48.95584785845131,35.65369328483939,60.97617918159812,56.75296713099149,28.48032796367382,61.46204360594689,64.32119856482585,68.64038031388974,medio
Valle del Cauca,206.0,50.80559254580399,52.64878171212825,50.97740211551195,50.0369975104461,26.691678716393785,73.12635768024793,39.07711288454012,65.14351860958047,medio
Guaviare,7.0,38.21183982903936,32.926629683268914,51.73805698752404,65.29361480390843,31.75213739926379,31.148378806319194,96.51245366875249,62.92015206757079,medio
Cundinamarca,5.0,54.95254108682275,28.311803033604516,59.71348789893091,47.30920480930113,27.625729292889844,69.35994518822514,28.97128699319722,58.18168551101282,medio
Meta,74.0,45.62148278354151,29.218850148278534,47.30964982215114,47.75554387945714,23.509455971990878,43.39278758064643,30.272948093318053,41.63793162527232,medio
Cesar,12.0,44.631974527874256,39.046276691369705,53.13021866061415,43.42977727425196,34.77617561422651,50.582436583581135,15.115875392175735,39.66107720751762,bajo
Risaralda,2.0,40.65259834751487,36.84153438080102,58.88897225260734,46.09166266995349,37.68211321698295,42.56279978394404,25.31648464097605,38.89416392440818,bajo
Quindío,30.0,47.58953355257593,26.253720156421572,53.58602498983964,43.5100869282559,26.43907782632461,48.54301732924022,14.675582284562969,38.12132847178467,bajo
Santander,100.0,46.37728439871716,29.953204481973078,50.94130606983091,39.64001169167126,23.95905879551881,47.21751652849444,0.0,30.743665580369246,bajo
Caldas,11.0,35.295871913761154,28.273662747497752,50.19788678396833,46.85477460507763,21.63375666614321,20.61249544317833,26.741878237149585,25.05362679748012,bajo
Tolima,5.0,31.240063770674166,11.199451595544812,51.35150860995055,40.02183683549187,17.749156597419642,0.0,0.8747944385524808,0.0,bajo
